"icao_airline","tail_number","event_date","Total_impression_cnt","non_video_impression_cnt","clickable_impression_cnt","total_click_cnt","video_impression_cnt","total_skip_cnt","total_complete_cnt"
"P4N","P37534","2026-01-29","12682","11793","3043","22","889","28","868"
"P4N","P37560","2026-01-30","14282","13257","3359","25","1025","28","1000"
"P4N","P13138","2026-01-30","19659","18267","6272","36","1392","42","1355"
"P4N","P27253","2026-01-30","25007","23372","6768","44","1635","45","1592"
"P4N","P77573","2026-01-30","18758","17373","4397","45","1385","44","1350"
"P4N","P54543","2026-01-30","23160","21508","4998","39","1652","35","1618"
"P4N","P6864N","2026-01-29","17175","17175","4341","30","0","3","3"
"P4N","P12116","2026-01-29","19910","18812","7590","55","1098","46","1069"
"P4N","P37267","2026-01-29","15879","14842","3785","30","1037","20","1021"
"P4N","P77431","2026-01-18","15142","14287","3284","24","855","22","836"
"P4N","P17233","2026-01-18","12203","11337","3809","32","866","14","858"
"P4N","P29975","2026-01-18","21984","19855","6494","70","2129","46","2099"
"P4N","P17285","2026-01-18","16128","15055","3862","25","1073","24","1053"
"P4N","P24979","2026-02-04","14575","13709","3824","54","866","24","844"
"P4N","P4964N","2026-02-05","7167","6832","1530","19","335","12","323"
"P4N","P57409","2026-02-05","15522","14647","3905","23","875","33","842"
"P4N","P62894","2026-02-05","8552","8057","1878","11","495","25","470"
"P4N","P26966","2026-02-05","28454","26591","10178","65","1863","45","1822"
"P4N","P7844N","2026-02-03","23904","21925","10201","92","1979","60","1928"
"P4N","P34131","2026-01-26","6622","6054","2442","12","568","5","564"
"P4N","P76523","2026-01-26","18176","16838","4684","39","1338","36","1311"
"P4N","P17322","2026-01-26","17050","15923","4467","31","1127","38","1095"
"P4N","P14528","2026-01-25","21604","19970","5453","31","1634","28","1607"
"P4N","P58101","2026-01-26","11226","10394","2914","22","832","26","809"
"P4N","P14545","2026-01-25","24603","22429","6585","50","2174","83","2094"
"P4N","P33203","2026-01-26","13465","12591","3452","16","874","31","847"
"P4N","P7954N","2026-01-25","56339","52523","31786","120","3816","83","3761"
"P4N","P38268","2026-01-25","12498","11499","3388","27","999","23","979"
"P4N","P2264N","2026-01-26","21199","19059","7616","49","2140","62","2085"
"P4N","P26970","2026-01-25","20975","19222","7261","41","1753","50","1710"
"P4N","P47360","2026-01-25","16742","15788","3690","23","954","37","921"
"P4N","P27958","2026-01-02","9480","8479","6226","50","1001","30","988"
"P4N","P37420","2026-01-03","10232","8721","4354","82","1511","71","1494"
"P4N","P12021","2026-01-03","10205","10067","2136","1","138","1","137"
"P4N","P23983","2026-01-03","15508","12710","6967","48","2798","72","2743"
"P4N","P33292","2026-01-23","16020","14696","4048","20","1324","28","1297"
"P4N","P76516","2026-01-23","13017","12059","3119","42","958","22","937"
"P4N","P14016","2026-01-21","37660","33939","10097","76","3721","73","3654"
"P4N","P27323","2026-01-23","16310","15372","3753","18","938","26","912"
"P4N","P17583","2026-01-23","25330","23003","6649","54","2327","48","2286"
"P4N","P14507","2026-01-23","16665","14936","5231","44","1729","38","1695"
"P4N","P17405","2026-02-09","11461","10944","2693","27","517","22","495"
"P4N","P36207","2026-02-09","5554","5231","1225","10","323","7","316"
"P4N","P17245","2026-02-09","3734","3573","551","6","161","8","153"
"P4N","P18112","2026-02-09","7942","7429","3038","22","513","11","502"
"P4N","P29984","2026-02-08","7604","6646","2715","33","958","25","935"
"P4N","P39475","2026-02-08","5682","5352","1723","17","330","9","321"
"P4N","P24510","2026-02-08","12589","11486","3226","40","1103","30","1074"
"P4N","P35953","2026-02-08","12443","11495","3793","29","948","22","927"
"P4N","P17413","2026-01-04","15887","14242","6265","74","1645","61","1618"
"P4N","P94556","2026-01-04","13184","11547","5099","33","1637","48","1590"
"P4N","P38950","2026-01-04","9500","7643","4145","21","1857","37","1826"
"P4N","P77518","2026-01-05","10523","9693","3855","27","830","33","804"
"P4N","P26208","2026-01-05","6931","6409","2418","19","522","11","519"
"P4N","P78013","2026-01-04","27125","25091","10028","48","2034","60","1991"
"P4N","P78001","2026-01-20","20638","18384","7400","57","2254","52","2214"
"P4N","P37532","2026-01-20","7159","6553","2257","19","606","17","593"
"P4N","P26208","2026-01-11","18469","16907","4918","37","1562","44","1523"
"P4N","P27263","2026-01-11","12002","11441","2932","15","561","7","554"
"P4N","P17262","2026-01-11","10202","9277","2922","17","925","19","913"
"P4N","P14540","2026-01-11","18053","16839","3917","44","1214","33","1188"
"P4N","P34455","2026-01-11","14212","13386","2992","23","826","19","810"
"P4N","P17333","2026-01-11","19088","17325","4991","33","1763","51","1717"
"P4N","P47412","2026-01-06","12531","10944","4044","57","1587","41","1563"
"P4N","P14536","2026-01-06","11006","9588","3515","51","1418","57","1368"
"P4N","P6484N","2026-01-06","9006","9006","5013","53","0","5","4"
"P4N","P27959","2026-01-05","7640","6122","3786","34","1518","41","1483"
"P4N","P39415","2026-02-07","17388","16309","4656","44","1079","30","1049"
"P4N","P14231","2026-02-07","13283","12445","3572","39","838","19","819"
"P4N","P37507","2026-02-07","14205","13281","4180","24","924","44","880"
"P4N","P27290","2026-02-08","5499","5158","1114","13","341","14","327"
"P4N","P29129","2026-02-07","5809","5448","1988","14","361","12","349"
"P4N","P69020","2026-02-07","2970","2867","447","1","103","3","100"
"P4N","P29971","2026-02-08","15564","14635","5686","19","929","18","912"
"P4N","P33284","2026-01-31","11309","10577","3109","21","732","14","720"
"P4N","P18243","2026-01-31","14088","13272","2948","27","816","22","799"
"P4N","P27292","2026-01-31","3072","2796","878","3","276","9","267"
"P4N","P37351","2026-01-07","6763","5956","1945","27","807","24","793"
"P4N","P29124","2026-01-07","7068","6259","2220","18","809","29","786"
"P4N","P17339","2026-01-07","6352","5686","1780","23","666","19","649"
"P4N","P8174N","2026-01-25","4633","4510","450","0","123","0","123"
"P4N","P14235","2026-02-06","13172","12485","2950","28","687","24","665"
"P4N","P27276","2026-02-06","17054","15939","4557","35","1115","30","1085"
"P4N","P68836","2026-02-06","18581","17366","4921","27","1215","21","1194"
"P4N","P37367","2026-02-06","13037","12356","2754","21","681","15","666"
"P4N","P37542","2026-01-24","11754","10585","2376","41","1169","30","1142"
"P4N","P17104","2026-01-24","3378","3378","0","0","0","0","0"
"P4N","P57416","2026-01-24","18205","17215","3830","68","990","45","960"
"P4N","P14120","2026-01-24","30653","28305","13367","64","2348","62","2291"
"P4N","P27509","2026-01-24","19103","17635","5109","37","1468","31","1438"
"P4N","P37307","2026-01-24","11056","10059","2723","24","997","26","978"
"P4N","P27239","2026-01-24","11658","10420","3594","24","1238","27","1220"
"P4N","P74532","2026-01-24","19266","17309","5825","49","1957","38","1925"
"P4N","P37562","2026-01-24","19221","17389","3528","57","1832","58","1796"
"P4N","P62896","2026-01-25","9612","8781","2362","19","831","36","800"
"P4N","P37351","2026-01-25","1767","1715","268","2","52","2","50"
"P4N","P37372","2026-01-27","13772","13054","2983","33","718","25","697"
"P4N","P78285","2026-01-27","13909","12837","3814","31","1072","25","1054"
"P4N","P7844N","2026-01-27","16435","15563","4291","26","872","13","864"
"P4N","P47533","2026-01-13","13353","12771","1896","8","582","15","571"
"P4N","P7924N","2026-01-27","24468","22298","8620","47","2170","51","2132"
"P4N","P87513","2026-01-27","10600","9727","2493","30","873","27","854"
"P4N","P18243","2026-01-27","9802","9084","1869","14","718","16","702"
"P4N","P37419","2026-01-28","12985","12050","2883","26","935","22","916"
"P4N","P19117","2026-01-28","20438","19199","8843","25","1239","36","1205"
"P4N","P7884N","2026-01-28","3801","3795","41","0","6","1","5"
"P4N","P17364","2026-01-28","17445","16101","5558","55","1344","26","1322"
"P4N","P26902","2026-01-10","15785","14197","5084","39","1588","60","1532"
"P4N","P34455","2026-01-10","14090","12947","3743","21","1143","27","1118"
"P4N","P8294N","2026-01-10","6250","6035","636","9","215","8","207"
"P4N","P38451","2026-01-10","2746","2713","144","3","33","0","33"
"P4N","P17326","2026-01-10","13680","12356","3757","37","1324","58","1282"
"P4N","P25982","2026-01-10","18377","16653","5265","36","1724","39","1693"
"P4N","P27539","2026-01-10","23708","21696","6467","48","2012","54","1970"
"P4N","P17317","2026-01-10","12123","11328","2717","19","795","32","767"
"P4N","P2749U","2026-01-08","18256","15632","6374","67","2624","85","2558"
"P4N","P7924N","2026-01-13","17787","15305","9594","40","2482","63","2434"
"P4N","P12125","2026-01-18","700","700","0","0","0","0","0"
"P4N","P79011","2026-02-06","16","16","0","0","0","0","0"
"P4N","P27964","2026-01-30","1","1","0","0","0","0","0"
"P4N","P18119","2026-02-04","12431","11561","4101","24","870","24","848"
"P4N","P47414","2026-02-04","4454","4314","628","7","140","8","132"
"P4N","P44522","2026-02-04","16957","15918","3728","32","1039","23","1016"
"P4N","P7944N","2026-02-01","20773","19088","6361","54","1685","46","1651"
"P4N","P86534","2026-02-03","11136","10564","2250","12","572","17","555"
"P4N","P17420","2026-02-03","9976","9385","2585","25","591","20","571"
"P4N","P4904N","2026-02-03","7420","7139","1235","11","281","8","274"
"P4N","P17311","2026-02-03","15914","14899","4363","34","1015","30","985"
"P4N","P12006","2026-01-14","26910","24962","8613","76","1948","51","1910"
"P4N","P17229","2026-01-16","15330","14316","3264","33","1014","32","983"
"P4N","P37507","2026-01-17","23996","22159","6309","71","1837","76","1764"
"P4N","P66897","2026-01-17","13687","12709","3635","24","978","22","956"
"P4N","P76522","2026-01-17","15627","14296","4443","43","1331","41","1295"
"P4N","P26909","2026-01-16","12612","11086","3876","27","1526","35","1494"
"P4N","P62894","2026-01-16","18423","17031","4803","51","1392","44","1354"
"P4N","P8844N","2026-01-22","12348","11739","2380","36","609","15","598"
"P4N","P27205","2026-01-22","15563","14531","1970","24","1032","19","1018"
"P4N","P47291","2026-01-22","6172","6172","2040","15","0","0","0"
"P4N","P24212","2026-01-22","16256","15121","3918","25","1135","33","1105"
"P4N","P73251","2026-01-21","16338","15352","3005","21","986","32","959"
