zone_name,lag_1d,lag_7d,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,active_campaigns_in_zone,days_since_last,total_planned_daily_demand,paid_ratio,day_of_week,is_weekend,month,cat_fb,cat_home,cat_movies,cat_music,cat_other,cat_tv,cat_welcome,predicted_imp_per_flight,daily_capacity
O,1.0,4.680440771349862,2.159473591351026,2.8977350162410715,1.684951546322567,1,-198,0.0,0.0,2,0,5,0,0,0,0,1,0,0,1.4230514,1035.5748
P,2.0,3.489675516224189,1.7842393594605983,6.159697496017044,0.9030747999285547,2,-196,0.0,0.0,2,0,5,0,0,0,0,1,0,0,2.3245292,1691.5931
Peacock > Featured List,0.5088495575221239,0.40431266846361186,0.6238582103392439,0.452225567966447,0.20890830712547573,25,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.8217344,597.9879
Peacock > TV shows,0.20648967551622419,0.1792452830188679,0.20948875895619098,0.15127117654291072,0.08206212264019425,17,8,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.4951148,360.30212
Portuguese,2.0,0.2465564738292011,0.8695430701920154,0.6850664447197351,0.7232518785853637,2,-196,0.0,0.0,2,0,5,0,0,0,0,1,0,0,2.2083747,1607.0659
Q,0.0014749262536873156,0.029649595687331536,0.034076521442689856,0.08948549881984232,0.02191886173471243,1,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
R,2.0,7.873278236914601,3.3215557082840426,6.156156314478713,2.8122630294604094,1,-198,0.0,0.0,2,0,5,0,0,0,0,1,0,0,2.7692902,2015.2521
Recently Added,4.0,30.0,37.42857142857143,244.12868273259343,34.46184916134141,2,-199,0.0,0.0,2,0,5,0,0,0,0,1,0,0,39.155888,28494.299
Romance,3.0,7.156123822341858,5.231640161785839,5.5568146292081195,2.7598374983282765,2,-196,0.0,0.0,2,0,5,0,0,0,0,1,0,0,3.7508059,2729.5151
S,4.0,1.0,2.4285714285714284,15.21656549192877,1.5118578920369088,2,-198,0.0,0.0,2,0,5,0,0,0,0,1,0,0,3.7829387,2752.8987
Sci-fi & Fantasy,2.0,5.767160161507403,4.15461549439503,4.790055094844093,2.1884626473241675,2,-198,0.0,0.0,2,0,5,0,0,0,0,1,0,0,2.8902361,2103.266
Spanish,2.0,0.3029045643153527,2.0605060736886096,2.1011876756665333,1.7342056005336546,2,-198,0.0,0.0,2,0,5,0,0,0,0,1,0,0,2.3809588,1732.6577
Spotify > Featured List,0.01032448377581121,0.004010695187165776,0.00842531039591265,0.005912106345322312,0.003660696559560442,6,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
Spotify > Video Podcasts,0.0058997050147492625,0.02021563342318059,0.02617451015164004,0.018220842295567637,0.02104834561906154,4,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
Subtitled/Captioned Movies,0.2728613569321534,0.431266846361186,0.4118702941053899,0.4117594687605781,0.07158028959320903,15,8,0.0,0.0,2,0,5,0,0,1,0,0,0,0,0.600247,436.80835
T,2.0,1.0,1.0714285714285714,5.335489442099975,0.4498677054212186,2,-196,0.0,0.0,2,0,5,0,0,0,0,1,0,0,2.2045224,1604.2625
