campaign_id,campaign_name,revenue_type,goal_type,planned_daily_impressions,pacing_gap,time_urgency,zone_fit,contract_weight,goal_modifier,priority_score,queue_position
8133,eX3_OM_2605_kumamon1,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,48
8139,eX3_OM_2605_kumamon5,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,49
8136,eX3_OM_2605_kumamon2,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,50
8137,eX3_OM_2605_kumamon3,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,51
8135,eX3_OM_2605_drink_NoJP,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,52
7634,NEXT_2601_BN_AUD_Wifi,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,53
7632,NEXT_2601_BN_MOV_WiFi,house,consideration,0.0,0.0,18.97,20.0,6.67,20.0,65.64,54
6549,EX2_IB_BN_Royal Lahaina4_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,55
6548,EX2_IB_BN_Royal Lahaina3_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,56
7305,2015665_KM_Zoho - IFE - 2025/2026_Display_SD,paid,consideration,16190.475274725277,0.0,5.45,20.0,20.0,20.0,65.45,57
6544,EX2_IB_BN_Royal Lahaina2_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,58
6551,EX3_IB_BN_Royal Lahaina_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,59
6543,EX2_IB_BN_Royal Lahaina_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,60
6552,EX3_IB_BN_Royal Lahaina2_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,61
6553,EX3_IB_BN_Royal Lahaina3_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,62
6554,EX3_IB_BN_Royal Lahaina4_Jun2025,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,63
7779,Vodafone HPW 2026,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,64
7781,Vodafone Portal 2026,paid,consideration,0.0,0.0,5.45,20.0,20.0,20.0,65.45,65
7051,1957782_MP_Airalo_MP Kinective Extension_Display,paid,consideration,0.0,0.0,5.44,20.0,20.0,20.0,65.44,66
7999,Segur Estates - Campanha GIG - 1MAR to 15MAI,paid,awareness,0.0,0.0,8.43,20.0,20.0,16.67,65.1,67
6784,EX2_OB_BN_Lawrys1_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,68
6862,EX3_OB_BN_Lawrys4_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,69
6785,EX2_OB_BN_Lawrys2_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,70
6787,EX2_OB_BN_Lawrys3_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,71
6788,EX2_OB_BN_Lawrys4_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,72
6864,EX3_IB_BN_Chandelier Holdings2_Aug2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,73
6782,EX2_IB_BN_Chandelier Holdings1_Aug2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,74
6863,EX3_IB_BN_Chandelier Holdings1_Aug2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,75
6861,EX3_OB_BN_Lawrys3_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,76
6860,EX3_OB_BN_Lawrys2_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,77
6859,EX3_OB_BN_Lawrys1_Aug 2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,78
6783,EX2_IB_BN_Chandelier Holdings2_Aug2025,paid,consideration,0.0,0.0,5.04,20.0,20.0,20.0,65.04,79
5808,EX3_IB_BN_Polynesian Adventure3_Feb2025,paid,consideration,0.0,0.0,4.72,20.0,20.0,20.0,64.72,80
5809,EX3_IB_BN_Polynesian Adventure4_Feb2025,paid,consideration,0.0,0.0,4.72,20.0,20.0,20.0,64.72,81
5807,EX3_IB_BN_Stix Asia2_Feb2025,paid,consideration,0.0,0.0,4.72,20.0,20.0,20.0,64.72,82
4748,EX3_IB_BN_Stix Asia_Oct2024,paid,consideration,0.0,0.0,4.22,20.0,20.0,20.0,64.22,83
8108,RIR 2026,partner,consideration,0.0,0.0,10.83,20.0,13.33,20.0,64.17,84
8211,Simons May26 Entertainment Hero banner campaign Astrova,house,consideration,0.0,0.0,17.08,20.0,6.67,20.0,63.75,85
8210,Simons May26 Entertainment Hero banner campaign,house,consideration,0.0,0.0,17.08,20.0,6.67,20.0,63.75,86
4620,EX3_IB_BN_Polynesian Adventure1_Jun2023,paid,consideration,0.0,0.0,3.7,20.0,20.0,20.0,63.7,87
5256,EX3_IB_BN_Polynesian Adventure2_Jun2023,paid,consideration,0.0,0.0,3.7,20.0,20.0,20.0,63.7,88
4619,EX3_IB_BN_Bishop Museum1_Oct2023,paid,consideration,0.0,0.0,3.44,20.0,20.0,20.0,63.44,89
5255,EX3_IB_BN_Bishop Museum2_Oct2023,paid,consideration,0.0,0.0,3.44,20.0,20.0,20.0,63.44,90
8131,eX3_OM_2605_IS_FJ,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,91
8119,NEXT_2605_IS_Y_Mkmt,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,92
8118,NEXT_2605_IS_PY_Mkmt,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,93
8132,eX3_OM_2605_IS_Y,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,94
8146,eX3_OM_2605_IS_FJ_v2,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,95
8216,Ident: SV0526 PAC IFE Promo,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,96
8254,Ident: SV0526 Saudia x Adidas Ad,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,97
8116,NEXT_2605_IS_F_CHANEL,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,98
8117,NEXT_2605_IS_C_Mkmt+UMT,house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,99
8150,B777 + A321 banner 05 (May 2026),house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,100
8149,A350 New GUI banner 05 (May 2026),house,awareness,0.0,0.0,18.97,20.0,6.67,16.67,62.31,101
7778,Vodafone 2026 Interstitial,paid,awareness,0.0,0.0,5.45,20.0,20.0,16.67,62.11,102
8204,Deloitte May26 video interstitial campaign,house,awareness,0.0,0.0,17.08,20.0,6.67,16.67,60.42,103
8195,NEXT_2604_TEST_LargeCard_3A,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,104
8063,AIX 2026,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,105
8188,NEXT_2604_TEST_DividerShort_Right_1,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,106
8196,NEXT_2604_TEST_LargeCard_2,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,107
8189,NEXT_2604_TEST_LargeCard_3B,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,108
8190,NEXT_2604_TEST_DividerShort_Left_1,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,109
8191,NEXT_2604_TEST_DividerShort_Right_2,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,110
8192,NEXT_2604_TEST_DividerShort_Left_2,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,111
8193,NEXT_2604_TEST_DividerLarge,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,112
