campaign_id,campaign_name,planned_daily,allocated_daily,fulfillment_pct,confidence
7732,Volcano Express 2026,0.0,0.0,100.0,High
8185,2117980_KM_DMO_Cayman Islands Summer 2026_GCM_Display_SD,8406.9,8406.91,100.0,High
8187,OCBC Bank Banner - Homepage,0.0,0.0,100.0,High
8188,NEXT_2604_TEST_DividerShort_Right_1,0.0,0.0,100.0,High
8189,NEXT_2604_TEST_LargeCard_3B,0.0,0.0,100.0,High
7655,BoardingSlate_09_Slide8_2026,0.0,0.0,100.0,High
8108,RIR 2026,0.0,0.0,100.0,High
6616,1905804_Spotify_Project Lime Media_2025/26_Display,25462.96,25462.96,100.0,High
8147,Complimentary_&_Limitless Internet - I - Screensavers - April 2026 -  TR & EN,0.0,0.0,100.0,High
8116,NEXT_2605_IS_F_CHANEL,0.0,0.0,100.0,High
8117,NEXT_2605_IS_C_Mkmt+UMT,0.0,0.0,100.0,High
8118,NEXT_2605_IS_PY_Mkmt,0.0,0.0,100.0,High
8119,NEXT_2605_IS_Y_Mkmt,0.0,0.0,100.0,High
8122,2122783_KM_The Mountain Collective_Display,19021.74,19021.74,100.0,High
7611,Audible Banners 2026,0.0,0.0,100.0,High
8123,2086691_KM_Canva B2B & Cannes 1H 2026_Display_SD,10582.06,10582.06,100.0,High
8131,eX3_OM_2605_IS_FJ,0.0,0.0,100.0,High
8132,eX3_OM_2605_IS_Y,0.0,0.0,100.0,High
8133,eX3_OM_2605_kumamon1,0.0,0.0,100.0,High
8134,eX3_OM_2605_drink_JP,0.0,0.0,100.0,High
8135,eX3_OM_2605_drink_NoJP,0.0,0.0,100.0,High
8149,A350 New GUI banner 05 (May 2026),0.0,0.0,100.0,High
8136,eX3_OM_2605_kumamon2,0.0,0.0,100.0,High
8138,eX3_OM_2605_kumamon4,0.0,0.0,100.0,High
8139,eX3_OM_2605_kumamon5,0.0,0.0,100.0,High
8140,eX3_OM_2605_kumamon6,0.0,0.0,100.0,High
8141,eX3_OM_2605_kumamon7,0.0,0.0,100.0,High
8142,eX3_OM_2605_kumamon8,0.0,0.0,100.0,High
8143,eX3_OM_2605_kumamon9,0.0,0.0,100.0,High
7632,NEXT_2601_BN_MOV_WiFi,0.0,0.0,100.0,High
7633,NEXT_2601_BN_TV_Wifi,0.0,0.0,100.0,High
7634,NEXT_2601_BN_AUD_Wifi,0.0,0.0,100.0,High
8146,eX3_OM_2605_IS_FJ_v2,0.0,0.0,100.0,High
8144,eX3_OM_2605_kumamon10,0.0,0.0,100.0,High
8145,eX3_OM_2605_popup_UNEXT,0.0,0.0,100.0,High
8137,eX3_OM_2605_kumamon3,0.0,0.0,100.0,High
8109,RIR 2026 Video,0.0,0.0,100.0,High
7955,2019891_KM_Monaco Tourism '26_Display_SD,4048.59,4048.59,100.0,High
8190,NEXT_2604_TEST_DividerShort_Left_1,0.0,0.0,100.0,High
7220,Göbeklitepe - Şanlıurfa - I - Screensaver - October 2025,0.0,0.0,100.0,High
7221,Kapadokya - Nevşehir - I - Screensaver - October 2025,0.0,0.0,100.0,High
8243,2036350_KM_Airwallex 2026_Display_SD,23185.48,23185.48,100.0,High
7223,Kız Kulesi - İstanbul - I - Screensaver - October 2025,0.0,0.0,100.0,High
7224,Miles & Smiles Yeni Üyelik - I - Screensaver - October 2025 - Tur & Eng,0.0,0.0,100.0,High
8245,2144059_MP_Avis - Q2 Media - 2026_Display,114035.09,114035.1,100.0,High
7226,Nemrut - Adıyaman - I - Screensaver - October 2025,0.0,0.0,100.0,High
7227,Pamukkale - Denizli - I - Screensaver - October 2025,0.0,0.0,100.0,High
8246,2086401_KM_Dyson 2Q26_Display_HD,75973.41,75973.41,100.0,High
7229,The Oldest Bread - I - Screensaver - October 2025 - Tur & Eng,0.0,0.0,100.0,High
8254,Ident: SV0526 Saudia x Adidas Ad,0.0,0.0,100.0,High
8250,2117980_KM_DMO_Cayman Islands Summer 2026_GCM_Display_HD,8406.9,8406.9,100.0,High
7740,AC Bell Fee WiFi Jan26 banner campaign Astrova,0.0,0.0,100.0,High
7741,AC Bell Fee Texting Jan26 banner campaign Astrova,0.0,0.0,100.0,High
7234,EX2_IBOB_BN_AtmosCC_Oct25,0.0,0.0,100.0,High
7742,AC Manage Your Booking Jan26 banner campaign Astrova,0.0,0.0,100.0,High
7749,NEXT_2602_BN_WS_Wifi,0.0,0.0,100.0,High
6217,Digital_Hemi_EWR,0.0,0.0,100.0,High
6218,Digital_Hemi_BNA,0.0,0.0,100.0,High
6219,Digital_Hemi_DCA,0.0,0.0,100.0,High
6220,Digital_Hemi_IAD,0.0,0.0,100.0,High
6221,Digital_Hemi_LAS,0.0,0.0,100.0,High
6222,Digital_Hemi_MSY,0.0,0.0,100.0,High
6223,Digital_Hemi_NAS,0.0,0.0,100.0,High
6224,Digital_Hemi_OGG,0.0,0.0,100.0,High
7219,Efes - İzmir - I - Screensaver - October 2025,0.0,0.0,100.0,High
7218,Ayasofya - İstanbul - I - Screensaver - October 2025,0.0,0.0,100.0,High
7217,Ani - Kars - I - Screensaver - October 2025,0.0,0.0,100.0,High
7727,Blue Lagoon 2026,0.0,0.0,100.0,High
8193,NEXT_2604_TEST_DividerLarge,0.0,0.0,100.0,High
8194,NEXT_2604_TEST_LargeCard_1,0.0,0.0,100.0,High
8195,NEXT_2604_TEST_LargeCard_3A,0.0,0.0,100.0,High
8196,NEXT_2604_TEST_LargeCard_2,0.0,0.0,100.0,High
4619,EX3_IB_BN_Bishop Museum1_Oct2023,0.0,0.0,100.0,High
4620,EX3_IB_BN_Polynesian Adventure1_Jun2023,0.0,0.0,100.0,High
7691,2075046_UA_ALWAYS ON HOUSE CAMPAIGN 2026 (IFE)_Display,0.0,0.0,100.0,High
8204,Deloitte May26 video interstitial campaign,0.0,0.0,100.0,High
7694,January 2026 Interactive Update Banner Campaign Holafly,0.0,0.0,100.0,High
6160,Miles&Smiles_Kredi Kartı - I - Screensaver - April 2025 - Turkish & English,0.0,0.0,100.0,High
8210,Simons May26 Entertainment Hero banner campaign,0.0,0.0,100.0,High
6675,Bell WIFI Texting Jun25 Banner Campaign,0.0,0.0,100.0,High
6225,Digital_Hemi_PHX,0.0,0.0,100.0,High
8211,Simons May26 Entertainment Hero banner campaign Astrova,0.0,0.0,100.0,High
3607,Internet Packages BC + YC - I - Screensavers - August 2023,0.0,0.0,100.0,High
8216,Ident: SV0526 PAC IFE Promo,0.0,0.0,100.0,High
7193,IFE_Starlink_Home_Zone1_2025,0.0,0.0,100.0,High
8217,2127469_KM_Navan 2026_Display,9247.35,9247.35,100.0,High
7195,MP Member Re-Engagement - Evergreen,0.0,0.0,100.0,High
7196,EX3_IBOB_BN_AtmosRewards_Oct25,0.0,0.0,100.0,High
7197,EX3_IBOB_BN_AtmosCC_Oct25,0.0,0.0,100.0,High
8219,2028756_MP_Illy 2026 Partnership Campaign_Display,86688.47,86688.46,100.0,High
8235,May 2026 Air Europa 40 Years History Microsite,0.0,0.0,100.0,High
7725,Bioeffect 2026,0.0,0.0,100.0,High
8238,Pasteis de Belem,0.0,0.0,100.0,High
7726,Perlan 2026,0.0,0.0,100.0,High
6677,Bell Free WIFI Jun25 Banner Campaign,0.0,0.0,100.0,High
6226,Digital_Hemi_TPA,0.0,0.0,100.0,High
8272,Odiyo Audio Book May- Aug,0.0,0.0,100.0,High
8274,Loyalty RBC,0.0,0.0,100.0,High
7846,NEXT_2603_BN_FTO_GBL,0.0,0.0,100.0,High
5287,787 Leihoku Suite Tutorial,0.0,0.0,100.0,High
7847,NEXT_2603_BN_DL_GBL,0.0,0.0,100.0,High
7342,Apex Best IFEC Awards - I - Screensaver - October 2025 - Tur & Eng,0.0,0.0,100.0,High
5807,EX3_IB_BN_Stix Asia2_Feb2025,0.0,0.0,100.0,High
5808,EX3_IB_BN_Polynesian Adventure3_Feb2025,0.0,0.0,100.0,High
5809,EX3_IB_BN_Polynesian Adventure4_Feb2025,0.0,0.0,100.0,High
7856,BoardingSlate_10_Slide9_2026,0.0,0.0,100.0,High
7857,BoardingSlate_11_Slide10_2026,0.0,0.0,100.0,High
4278,1780835_UA_ALWAYS ON_MileagePlus_MemberWIFI_Awareness_23-24,0.0,0.0,100.0,High
7869,TAWGC 2026 - I - Screensavers - February 2026 -  Tur & Eng,0.0,0.0,100.0,High
5831,1780835_UA_ALWAYS_A321Neo Wireless Charging_Display_Ongoing,0.0,0.0,100.0,High
7820,January 2026 Testing_All Zones,0.0,0.0,100.0,High
6859,EX3_OB_BN_Lawrys1_Aug 2025,0.0,0.0,100.0,High
6861,EX3_OB_BN_Lawrys3_Aug 2025,0.0,0.0,100.0,High
